"LA1 1AA",10,"N",1,1,0,1,0,1,0,347467,461653,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AB",10,"N",2,2,1,1,0,2,0,347440,461630,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AD",10,"N",43,43,43,0,0,43,0,347260,462333,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AE",10,"N",44,44,44,0,0,44,0,347452,461521,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AF",10,"N",26,26,26,0,0,26,0,347971,461546,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AG",10,"N",32,32,32,0,0,32,0,347942,461493,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AH",10,"N",84,84,84,0,0,84,0,347526,462029,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AJ",10,"N",8,8,8,0,0,8,0,347445,461674,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AL",10,"N",9,6,1,8,0,6,3,347641,461641,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AN",10,"N",5,5,5,0,0,5,0,347644,461334,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AP",10,"N",8,8,8,0,0,8,0,347197,462307,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AQ",10,"N",18,18,18,0,0,18,0,347694,461278,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AR",10,"N",14,14,14,0,0,14,0,347684,461303,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AS",10,"N",1,1,0,1,0,1,0,347822,461940,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AT",10,"N",77,77,77,0,0,77,0,347938,461429,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AU",10,"N",73,73,73,0,0,73,0,347891,461370,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AW",10,"N",20,20,20,0,0,20,0,347661,461862,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1AY",10,"N",58,58,58,0,0,58,0,347620,462049,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BB",10,"N",100,100,100,0,0,100,0,348171,462370,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014888","S"
"LA1 1BD",10,"N",1,1,1,0,0,1,0,347712,461642,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BE",10,"N",19,19,19,0,0,19,0,347329,461564,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BF",10,"N",14,14,14,0,0,14,0,347502,461016,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BG",10,"N",70,70,70,0,0,70,0,347631,461989,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BJ",10,"N",7,7,4,3,0,7,0,347867,461420,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BL",10,"N",25,25,25,0,0,25,0,347577,462004,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BN",10,"N",2,2,2,0,0,2,0,347586,461972,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BP",10,"N",56,56,55,1,0,56,0,347608,461972,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BS",10,"N",4,4,3,1,0,4,0,348066,462294,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014888","S"
"LA1 1BU",10,"N",12,12,12,0,0,12,0,347483,461796,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BW",10,"N",23,23,23,0,0,23,0,347655,461323,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BX",10,"N",9,9,9,0,0,9,0,347687,461330,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1BY",10,"N",24,24,24,0,0,24,0,347675,461391,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1DB",10,"N",2,2,1,1,0,2,0,347913,462009,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1DD",10,"N",8,8,8,0,0,8,0,347926,462010,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1DF",10,"N",2,2,0,2,0,2,0,348031,462059,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014890","S"
"LA1 1DG",10,"N",1,1,0,1,0,1,0,348049,462181,"E92000001","E19000001","E18000002","E10000017","E07000121","E05014888","S"
